objectid,fips,county_cod,dwr_code,county_nam,staging_sd,acres,perimeter,shape,st_area_sh,st_length_,Area_County,objectid_1,objectid_2,system,id,name,shape_leng,label,shape_le_1,shape_2,st_area_sh_2,st_length__2,area,Area_Intersection,Basin_Fraction
2,81,MOF,41,Moffat,12317400393,3043629.637,467091.544,,2137833,61505,21378335395,8,8,Ym/Wt,800,Yampa/White/Green,778063.4337,Yampa/White/Green,778058.2319,,47013356168,1020664.666,27275598010,21369748340,1
3,115,SED,58,Sedgwick,1421479012,351247.464,157345.57,,2487602,20803,2487602761,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,2487602761,1
4,75,LGN,38,Logan,4779229820,1180947.689,282205.556,,8331256,37251,8331256881,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,8331256881,1
6,123,WEL,62,Weld,10395417514,2568707.668,484302.76,,1804062,63770,18040628297,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,18039853173,1
6,123,WEL,62,Weld,10395417514,2568707.668,484302.76,,1804062,63770,18040628297,9,9,Met,900,Metro,0,Metro,408181.9796,,9803568422,529377.382,5822119132,772396.66,0
7,95,PHI,48,Phillips,1782679258,440500.045,172755.396,,3093667,22748,3093667854,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,3093667854,1
8,87,MOR,44,Morgan,3350988268,828029.201,232444.602,,5764316,30486,5764316750,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,5764316750,1
9,125,YUM,63,Yuma,6120252868,1512314.484,321310.482,,1043880,41980,10438805392,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,10438805392,1
10,121,WAS,61,Washington,6551120226,1618781.808,352094.661,,1117038,45992,11170389955,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,11170389955,1
11,1,ADA,1,Adams,3062084779,756641.149,391100.483,,5208791,50953,5208791518,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,3961967000,0.76
11,1,ADA,1,Adams,3062084779,756641.149,391100.483,,5208791,50953,5208791518,9,9,Met,900,Metro,0,Metro,408181.9796,,9803568422,529377.382,5822119132,1246824518,0.24
12,5,ARA,3,Arapahoe,2083388622,514805.329,305895.005,,3521197,39718,3521197574,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,2503895931,0.71
12,5,ARA,3,Arapahoe,2083388622,514805.329,305895.005,,3521197,39718,3521197574,9,9,Met,900,Metro,0,Metro,408181.9796,,9803568422,529377.382,5822119132,1017301643,0.29
13,31,DEN,16,Denver,403143517.3,99616.763,224626.717,,6836184,29238,683618474.2,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,77250400.43,0.11
13,31,DEN,16,Denver,403143517.3,99616.763,224626.717,,6836184,29238,683618474.2,9,9,Met,900,Metro,0,Metro,408181.9796,,9803568422,529377.382,5822119132,606368073.8,0.89
14,59,JEF,30,Jefferson,2001621018,494600.554,275542.633,,3377244,35808,3377244823,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,1267100934,0.38
14,59,JEF,30,Jefferson,2001621018,494600.554,275542.633,,3377244,35808,3377244823,9,9,Met,900,Metro,0,Metro,408181.9796,,9803568422,529377.382,5822119132,2110143889,0.62
15,63,KIT,32,Kit Carson,5600629548,1383915.561,309415.622,,9364241,39989,9364241206,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,9346200551,1
15,63,KIT,32,Kit Carson,5600629548,1383915.561,309415.622,,9364241,39989,9364241206,1,1,Ark,100,Arkansas,1494579.278,Arkansas,1494572.47,,11853076425,1905048.639,73231424092,18040655.42,0
16,73,LIN,37,Lincoln,6695618819,1654487.41,388911.302,,1110300,50104,11103006204,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,3043516875,0.27
16,73,LIN,37,Lincoln,6695618819,1654487.41,388911.302,,1110300,50104,11103006204,1,1,Ark,100,Arkansas,1494579.278,Arkansas,1494572.47,,11853076425,1905048.639,73231424092,8059489329,0.73
17,39,ELB,20,Elbert,4789068680,1183378.871,318604.427,,8010362,41187,8010362613,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,5291839775,0.66
17,39,ELB,20,Elbert,4789068680,1183378.871,318604.427,,8010362,41187,8010362613,1,1,Ark,100,Arkansas,1494579.278,Arkansas,1494572.47,,11853076425,1905048.639,73231424092,2533172772,0.32
17,39,ELB,20,Elbert,4789068680,1183378.871,318604.427,,8010362,41187,8010362613,9,9,Met,900,Metro,0,Metro,408181.9796,,9803568422,529377.382,5822119132,185350066.2,0.02
18,35,DOU,18,Douglas,2181496909,539047.886,209814.284,,3653944,27144,3653944581,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,6209709.33,0
18,35,DOU,18,Douglas,2181496909,539047.886,209814.284,,3653944,27144,3653944581,1,1,Ark,100,Arkansas,1494579.278,Arkansas,1494572.47,,11853076425,1905048.639,73231424092,92356.72,0
18,35,DOU,18,Douglas,2181496909,539047.886,209814.284,,3653944,27144,3653944581,9,9,Met,900,Metro,0,Metro,408181.9796,,9803568422,529377.382,5822119132,3647642515,1
19,41,ELP,21,El Paso,5513008575,1362264.419,312104.002,,9105160,40098,9105160195,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,260202959.2,0.03
19,41,ELP,21,El Paso,5513008575,1362264.419,312104.002,,9105160,40098,9105160195,1,1,Ark,100,Arkansas,1494579.278,Arkansas,1494572.47,,11853076425,1905048.639,73231424092,8620875938,0.95
19,41,ELP,21,El Paso,5513008575,1362264.419,312104.002,,9105160,40098,9105160195,9,9,Met,900,Metro,0,Metro,408181.9796,,9803568422,529377.382,5822119132,224081298.3,0.02
20,119,TEL,60,Teller,1446668345,357471.748,181317.534,,2392793,23324,2392793290,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,363341228.6,0.15
20,119,TEL,60,Teller,1446668345,357471.748,181317.534,,2392793,23324,2392793290,1,1,Ark,100,Arkansas,1494579.278,Arkansas,1494572.47,,11853076425,1905048.639,73231424092,1335047035,0.56
20,119,TEL,60,Teller,1446668345,357471.748,181317.534,,2392793,23324,2392793290,9,9,Met,900,Metro,0,Metro,408181.9796,,9803568422,529377.382,5822119132,694405026.4,0.29
21,17,CHE,9,Cheyenne,4615061567,1140381.713,290854.754,,7613368,37330,7613368991,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,2995207016,0.39
21,17,CHE,9,Cheyenne,4615061567,1140381.713,290854.754,,7613368,37330,7613368991,1,1,Ark,100,Arkansas,1494579.278,Arkansas,1494572.47,,11853076425,1905048.639,73231424092,4618161976,0.61
22,85,MON,43,Montrose,5818092556,1437650.671,426877.774,,9476681,54425,9476681151,6,6,D/SJ,600,San Juan/Dolores/San Miguel,926643.0175,Southwest,926641.9106,,42090591394,1173493.769,26345933486,4699357095,0.5
22,85,MON,43,Montrose,5818092556,1437650.671,426877.774,,9476681,54425,9476681151,3,3,Gun,300,Gunnison,787474.4113,Gunnison,787470.7372,,34048839397,1007737.557,20792045592,4773687095,0.5
23,101,PUE,51,Pueblo,6207540613,1533883.285,334753.368,,1006794,42624,10067947670,1,1,Ark,100,Arkansas,1494579.278,Arkansas,1494572.47,,11853076425,1905048.639,73231424092,10067947670,1
24,43,FRE,22,Fremont,3970633495,981143.537,285585.997,,6492952,36497,6492952747,5,5,RG,500,Rio Grande,756662.018,Rio Grande,756658.8751,,31220806459,956351.6438,19540475983,1661044.48,0
24,43,FRE,22,Fremont,3970633495,981143.537,285585.997,,6492952,36497,6492952747,1,1,Ark,100,Arkansas,1494579.278,Arkansas,1494572.47,,11853076425,1905048.639,73231424092,6491291702,1
25,61,KIO,31,Kiowa,4625382839,1142932.1,332034.311,,7548156,42369,7548156548,1,1,Ark,100,Arkansas,1494579.278,Arkansas,1494572.47,,11853076425,1905048.639,73231424092,7548156548,1
26,25,CRO,13,Crowley,2072634822,512148.065,191038.949,,3374900,24374,3374900512,1,1,Ark,100,Arkansas,1494579.278,Arkansas,1494572.47,,11853076425,1905048.639,73231424092,3374900512,1
27,109,SAG,55,Saguache,8205719502,2027633.289,412670.188,,1327169,52444,13271698906,5,5,RG,500,Rio Grande,756662.018,Rio Grande,756658.8751,,31220806459,956351.6438,19540475983,9860801728,0.74
27,109,SAG,55,Saguache,8205719502,2027633.289,412670.188,,1327169,52444,13271698906,3,3,Gun,300,Gunnison,787474.4113,Gunnison,787470.7372,,34048839397,1007737.557,20792045592,3256866281,0.25
27,109,SAG,55,Saguache,8205719502,2027633.289,412670.188,,1327169,52444,13271698906,1,1,Ark,100,Arkansas,1494579.278,Arkansas,1494572.47,,11853076425,1905048.639,73231424092,154030896.9,0.01
28,91,OUR,46,Ouray,1404566486,347068.379,210611.542,,2273710,26786,2273710743,6,6,D/SJ,600,San Juan/Dolores/San Miguel,926643.0175,Southwest,926641.9106,,42090591394,1173493.769,26345933486,4504919.01,0
28,91,OUR,46,Ouray,1404566486,347068.379,210611.542,,2273710,26786,2273710743,3,3,Gun,300,Gunnison,787474.4113,Gunnison,787470.7372,,34048839397,1007737.557,20792045592,2269205824,1
29,99,PRO,50,Prowers,4261422014,1052997.38,262376.042,,6862407,33299,6862407693,1,1,Ark,100,Arkansas,1494579.278,Arkansas,1494572.47,,11853076425,1905048.639,73231424092,6862407693,1
30,11,BEN,6,Bent,3991286480,986246.889,254543.254,,6431068,32316,6431068318,1,1,Ark,100,Arkansas,1494579.278,Arkansas,1494572.47,,11853076425,1905048.639,73231424092,6431068318,1
31,89,OTE,45,Otero,3283164198,811269.873,263974.248,,5284714,33515,5284714218,1,1,Ark,100,Arkansas,1494579.278,Arkansas,1494572.47,,11853076425,1905048.639,73231424092,5284714218,1
32,27,CUS,14,Custer,1914583148,473093.496,225734.666,,3099863,28712,3099863496,5,5,RG,500,Rio Grande,756662.018,Rio Grande,756658.8751,,31220806459,956351.6438,19540475983,3338137.07,0
32,27,CUS,14,Custer,1914583148,473093.496,225734.666,,3099863,28712,3099863496,1,1,Ark,100,Arkansas,1494579.278,Arkansas,1494572.47,,11853076425,1905048.639,73231424092,3096525359,1
33,113,SMI,57,San Miguel,3342933597,826038.892,319216.459,,5385321,40473,5385321008,6,6,D/SJ,600,San Juan/Dolores/San Miguel,926643.0175,Southwest,926641.9106,,42090591394,1173493.769,26345933486,5382388293,1
33,113,SMI,57,San Miguel,3342933597,826038.892,319216.459,,5385321,40473,5385321008,3,3,Gun,300,Gunnison,787474.4113,Gunnison,787470.7372,,34048839397,1007737.557,20792045592,88249.78,0
